"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Mean_Tleaf","Mean_CiCa_lt_100umols","Mean_Ci_lt_100umols"
"Barrow","powerlinepatio/bryanspath","ERAN6","2053","1","Andy","20160717",4.8222919462,0.9954496466,388.44987322
"Barrow","powerlinepatio/bryanspath","ERAN6","2054","1","Andy","20160717",4.909523201,0.9954286438,388.45141126
"Barrow","powerlinepatio/bryanspath","ERAN6","2055","1","Andy","20160717",4.937553048,1.0093015365,393.711657475
"Barrow","powerlinepatio/bryanspath","ERAN6","2056","1","Andy","20160717",4.8968427656,1.035419279,404.0108892
"Barrow","presteve","PEFR5","2186","1","Mariano","20160720",4.8255292894,1.0091070786,393.99873754
"Barrow","presteve","PEFR5","2193","1","Mariano","20160720",4.9268468858,0.9968630252,389.60801836
"Barrow","rightinyourface","ARLA2","2107","1","Mariano","20160718",4.98037469375,0.99086713525,386.498941225
"Barrow","rightinyourface","ARLA2","2108","1","Flash","20160718",4.7735228538,0.9893616912,385.92588812
"Barrow","rightinyourface","ARLA2","2123","1","Mariano","20160718",4.9510906218,0.9936791578,387.72382326
"Barrow","rightinyourface","ARLA2","2126","1","Flash","20160718",4.9521583556,0.992363889,387.092284
"Barrow","secondbridge","ARLA2","1912","1","Derek","20160712",4.8198533058,0.9353167244,364.94859578
"Barrow","secondbridge","ARLA2","1921","1","Derek","20160712",4.8965319395,1.00000101875,390.176330825
"Barrow","secondbridge","CAAQ","1874","1","Derek","20160711",14.8863220225,1.06379174675,415.0932201
"Barrow","secondbridge","CAAQ","1879","1","Derek","20160711",14.8763036725,1.0300705415,401.911354525
"Barrow","soilwarming","SAPU15","1876","1","Andy","20160712",14.91447401,0.99950421875,389.960797875
"Barrow","soilwarming","SAPU15","1893","1","Andy","20160711",14.856333924,1.0103316596,394.79794924
"Barrow","soilwarming","SAPU15","1894","1","Mariano","20160711",14.89701271,1.00422159575,392.05125825
"Barrow","soilwarming","SAPU15","1895","1","Andy","20160711",14.863762282,1.0074255478,393.66910482
"Barrow","soilwarming","SAPU15","1896","1","Mariano","20160711",14.864899395,0.99327558575,388.032668525
"Barrow","soilwarming","SAPU15","1897","1","Andy","20160711",14.7994685175,1.0348912205,404.2201114
"Barrow","soilwarming","SAPU15","1931","1","Mariano","20160712",15.096440886,0.9960787512,388.58585506
"Barrow","soilwarming","SAPU15","2067","1","Flash","20160717",4.84760367875,0.988256285,385.258046925
"Barrow","soilwarming","SAPU15","2068","1","Mariano","20160717",4.9465386392,0.982942669,383.71784952
"Barrow","soilwarming","SAPU15","2069","1","Flash","20160717",4.9337944986,0.9768439822,381.07581226
"Barrow","soilwarming","SAPU15","2070","1","Mariano","20160717",4.9968868495,1.01717394625,396.79870385
"Barrow","stakeoutpond","CAAQ","1878","1","Bernie","20160711",14.87055588,1.03084765425,402.2505485
"Barrow","tjunction","PEFR5","2148","1","Derek","20160719",4.9221482275,1.0134443945,396.13549715
"Barrow","tjunctioneast","CAAQ","1963","1","Derek","20160714",14.903409194,0.9745462702,380.19787198
"Barrow","tjunctioneast","CAAQ","1964","1","Andy","20160714",14.869184684,1.0094922376,393.69462752
"Barrow","tjunctioneast","CAAQ","1986","1","Andy","20160714",14.98488636,1.0570958672,412.34651324
"Barrow","tjunctioneast","CAAQ","1988","1","Andy","20160714",14.9814765425,1.0698846535,417.236351075
"Barrow","tjunctionpond","CAAQ","2000","1","Bernie","20160716",14.909529494,1.0073091698,392.90931002
"Barrow","tjunctionpond","CAAQ","2001","1","Derek","20160716",14.854501722,0.9861623586,384.59821556
"Barrow","tjunctionpond","CAAQ","2021","1","Bernie","20160716",15.047196865,1.064132663,415.1215087
"Barrow","tjunctionpond","CAAQ","2022","1","Derek","20160716",14.98637366,1.071685692,418.062449725
"Barrow","tjunctionpond","CAAQ","2142","1","Derek","20160719",4.9283415794,1.0172964586,396.7719181
"Barrow","tjunctionpond","CAAQ","2143","1","Derek","20160719",4.8651111602,1.0358181526,404.04802534
"Barrow","tjunctionpond","CAAQ","2144","1","Bernie","20160719",5.167865753,0.94673631,369.2398444
"Barrow","tjunctionpond","CAAQ","2145","1","Derek","20160719",4.9641330718,1.0132447408,395.2843181
"Barrow","tjunctionpond","CAAQ","2146","1","Bernie","20160719",5.7777501108,0.9631528686,375.70113184
"Barrow","tjunctionpond","CAAQ","2147","1","Derek","20160719",5.0932212828,1.0048704728,391.94255402
"Barrow","urinecorner","SAPU15","1957","1","Flash","20160713",14.91372223,0.9924554538,386.9389274
"Barrow","urinecorner","SAPU15","1962","1","Andy","20160713",24.91509962,1.06943816575,417.195487425
"Barrow","urinecorner","SAPU15","1966","1","Flash","20160714",14.8885231,0.9976909552,389.55496594
"Barrow","urinecorner","SAPU15","2057","1","Flash","20160717",4.99749946575,0.9948457075,387.5520709
"Barrow","urinecorner","SAPU15","2058","1","Mariano","20160717",4.8824828865,0.99580603075,388.540879375
"Barrow","urinecorner","SAPU15","2059","1","Flash","20160717",4.8863791466,0.9864967954,384.78305092
"Barrow","urinecorner","SAPU15","2060","1","Mariano","20160717",4.996115327,0.99770685225,389.42001755
"Barrow","Urinecorner","SAPU15","1967","1","Mariano","20160714",14.89938488,0.9983299634,389.85191278
"Barrow","waterfrontproperty","CAAQ","2074","1","Andy","20160718",4.9213503838,1.0133851208,395.24561018
"Barrow","waterfrontproperty","CAAQ","2149","1","Andy","20160718",5.0107336045,1.0058526885,392.4045202
"Barrow","waterfrontproperty","CAAQ","2150","1","Andy","20160718",4.8786209825,0.9992580085,389.738451175
"Barrow","wendyhouselake","ARFU2","1980","1","Flash","20160714",14.88790188,0.9843396722,384.32399976
"Barrow","wendyhouselake","ARFU2","1983","1","Flash","20160714",14.851745605,1.008278064,393.52912985
"Barrow","wendyhouselake","ARFU2","1989","1","Derek","20160714",14.9399533275,0.9894729085,386.207818875
"Barrow","wendyhouselake","ARFU2","1990","1","Andy","20160714",14.98905735,1.0155841716,396.30761396
"Barrow","wendyhouselake","ARFU2","1991","1","Derek","20160714",15.0021660325,0.97884369275,382.1427517
"Barrow","wendyhouselake","ARFU2","1992","1","Andy","20160714",15.14844036,1.025873561,400.476879575
"Barrow","wendyhouselake","ARFU2","1996","1","Bernie","20160714",14.82684231,1.020342727,398.416319525
"Barrow","wendyhouselake","ARFU2","1999","1","Bernie","20160714",14.99240608,0.9925103464,387.46269686
"Barrow","wendyhouselake","ARFU2","2023","1","Derek","20160716",15.01554513,1.03709016175,404.68116035
"Barrow","wendyhouselake","ARFU2","2024","1","Bernie","20160716",14.9391589175,1.02068994725,398.314115875
"Barrow","wendyhouselake","ARFU2","2025","1","Bernie","20160716",14.844867516,0.9578447534,373.65639682
"Barrow","wendyhouselake","ARFU2","2026","1","Derek","20160716",14.9372034075,0.965906114,377.0371675
"Barrow","wendyhouselake","ARFU2","2027","1","Bernie","20160716",14.957034682,0.9619979822,375.29789246
"Barrow","Wendyhouselake","ARFU2","2109","1","Derek","20160718",4.8302531242,1.0033906082,391.32361516
