"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Area","Tair","Tleaf","deltaT","RH_R","RH_S","VpdA","VpdL","PARi","PARo","Press","Ci_Ca","CO2R","CO2S","Photo","Cond","Ci"
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.08908272,14.84229374,0.724854318,56.76387024,59.76208878,0.652017605,0.525393072,748.7027588,101.9923248,100.6326828,0.770396607,396.3285522,390.0319824,11.42496491,0.21948499,300.479316
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.52856445,14.85652924,0.439458983,55.25238037,58.26345062,0.675778421,0.524152818,498.7100525,106.2028809,100.6320114,0.83080109,394.7828064,389.9797974,8.598211287,0.227550829,323.9956408
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.59059906,14.87145329,0.156012571,55.27851868,58.12759399,0.678463989,0.523931852,249.4364624,118.644165,100.6304932,0.889225481,393.0851746,390.0969849,5.202596877,0.215716744,346.884179
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.67347336,14.86504555,0.105809506,55.11476898,57.92990875,0.680845484,0.521094108,200.6839752,128.7507935,100.630394,0.912371812,392.8014526,390.4387512,4.026540332,0.215386634,356.2253108
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.68667412,14.9298296,0.032582963,55.30255127,58.17008972,0.67960758,0.522333126,150.3187714,129.0308685,100.6294708,0.92838028,392.0378418,390.07547,3.265072035,0.219240465,362.138374
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.7253952,14.90490341,-0.031061155,55.14773178,58.06825256,0.679612141,0.518786672,100.821991,120.7243881,100.6247253,0.962205293,391.2765503,390.2114868,1.566224582,0.225668368,375.4635581
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.70918083,14.88228798,-0.054933875,55.20437241,58.0754776,0.678371003,0.517370875,75.50380707,119.7814026,100.62854,0.974873123,391.0385132,390.3410645,0.881861051,0.222095994,380.5330124
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.64239693,14.91639519,-0.095534616,55.52043152,58.4028511,0.674768264,0.519438999,49.03824615,122.0491409,100.6289749,1.003572046,390.238678,390.3374023,-0.617393879,0.221093708,391.7317055
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.86205482,14.96260452,-0.108256231,55.16469193,57.9415741,0.683552415,0.517500909,20.10891151,127.145668,100.6269836,1.010737446,389.4675293,389.7580261,-0.96806165,0.216605287,393.9430317
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,17.82143974,14.96382427,-0.140867536,55.30332184,58.13484955,0.680284574,0.516715052,1.483709335,126.7037888,100.6245117,1.03064283,389.2831421,390.1285095,-2.020772391,0.220837092,402.0831509
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",1.74,13.05151939,14.92316628,1.301010806,83.40647125,84.15150452,0.333795246,0.433759585,1250.290527,179.2771454,100.6017838,0.240613878,394.7861938,389.9775085,9.592232559,0.052620968,93.83400061
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",1.74,14.55268764,14.84472466,0.516046432,80.77189636,81.38355255,0.325286959,0.341165641,499.2767334,151.7843475,100.594986,0.519690194,393.3286133,389.8301697,6.96096598,0.060666729,202.5909164
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",1.74,14.96396351,14.83051777,0.238794828,79.25225067,79.89984131,0.335870815,0.328577121,249.2775879,156.2196808,100.5937653,0.74374585,392.1684875,390.0598145,4.157089279,0.068609864,290.1053682
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",1.74,15.13096333,14.86312199,0.18904592,78.67405701,79.32228851,0.342061486,0.327367198,200.5137939,154.5229187,100.589653,0.804270634,391.9095459,390.2729492,3.2061773,0.069701749,313.8850721
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",1.74,15.17318726,14.91180325,0.135886752,78.72177887,79.2907486,0.343898439,0.329520177,149.7813416,134.5198517,100.5930481,0.873609826,391.346283,390.4221191,1.782481347,0.06083039,341.0765995
