"Site","Sample_Date","Spectra_Name","BNL_Barcode","Sample_Barcode","USDA_Species_Code","Instrument","Foreoptic","Collection_Units","Spectra_Units","Spectra_Type","Reflectance_Type","White_Reference_Standard","Spectral_Resolution","Interpolation_Method","Overlap_Handling","Overlap_Removal","Overlap_Matching_Type","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1851","BNL1851","1851","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.23029272522389,1.22881749547475,1.23475358871435,28.741503848971,28.5931917803263,29.155582902075,6.35799602172538,6.22086018418323,6.78457580115378,0.0104480455804234,0.010416315466256,0.0105384194337457,0.00283188330880137,0.00277212038947524,0.00300213640670798
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1843","BNL1843","1843","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.65139962757899,1.64828293517087,1.66010237575427,30.6248235175369,30.4533746734527,31.1116840826064,9.80578650235102,9.59977587763788,10.4201149130208,0.0110845599511659,0.0110439370291607,0.0111969227256821,0.00505209076695376,0.004964190963864,0.00530303190746252
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1844","BNL1844","1844","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.4005118033846,1.39762449159964,1.40953820942491,37.5487613146801,37.2747352509307,38.3912576705426,9.17860061742446,8.84965783604186,10.1025293498024,0.0110181717412011,0.0109722995067168,0.0111547737950079,0.00337154807797474,0.00327789258362199,0.00366017687977633
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1845","BNL1845","1845","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.46007282856448,1.45719855899396,1.46822639966369,34.9304498759001,34.7050319732794,35.6177240996995,7.68187563872142,7.45606679830364,8.34267831594002,0.0116505676401398,0.0116067809313741,0.0117755456708409,0.00380743801423124,0.00371956015818354,0.00407509315182736
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1846","BNL1846","1846","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.39645987136237,1.3934170734093,1.404900120966,33.102443977833,32.8613572855285,33.7974741241748,9.57670618269049,9.2619195140667,10.472969302321,0.0116748563201424,0.0116287597990997,0.0118137157474878,0.00364506753103574,0.00355037015856097,0.00391206338932934
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1873","BNL1873","1873","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.25503740042271,1.25299427426344,1.26093483684533,32.00882281981,31.803908531345,32.563697369988,7.12132537097206,6.93237940819805,7.69968403421506,0.0117134510163693,0.0116734047377613,0.0118326784671602,0.00359314938935502,0.00350842487953228,0.00383002436326656
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1874","BNL1874","1874","CAAQ","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.53896989960118,1.53602406729216,1.54707707092774,17.5278652561092,17.4306810809283,17.8261104509366,4.75415914943819,4.64857520794917,5.04595132202618,0.00732522478894531,0.00729220750255063,0.00742268084430886,0.00344018009409187,0.0033750761638295,0.00363375950664108
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1878","BNL1878","1878","CAAQ","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.37596486309904,1.37337633324154,1.3831359189877,17.4485948190817,17.3296044617926,17.799316226678,4.30459066936775,4.19099286272782,4.62176586984508,0.00727046408516964,0.00723375083942738,0.00737586456132805,0.00291203458162514,0.0028404297335066,0.0031193367920473
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1879","BNL1879","1879","CAAQ","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.45121366159833,1.44876736330994,1.45823958406068,23.5642758445259,23.4339087939638,23.9507685206602,6.77151093407144,6.62205463928064,7.18261157938518,0.00872751094544537,0.00869399042904347,0.00882678787833244,0.00323429855370323,0.00316711221630388,0.00343330729386304
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1880","BNL1880","1880","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.60550686419696,1.60171197407331,1.61587118597001,35.7144729639959,35.4654941687271,36.4106810184246,6.56859066621839,6.35499953731942,7.178825579231,0.0136341624344247,0.0135850639397589,0.0137786538442177,0.00407914976743992,0.00397006530508692,0.00438383913092338
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1881","BNL1881","1881","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.43078825056017,1.42768918968578,1.43936717316295,34.7080285993154,34.4639412537994,35.4093694786381,6.74993613055187,6.52100784561801,7.42462983476327,0.0125437732835796,0.0124976561989595,0.0126795401890621,0.00425887760880135,0.00415946447494722,0.00454598657748864
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1882","BNL1882","1882","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.31298870711934,1.31067659392817,1.31945787080213,33.3990271886339,33.1736425987679,34.0760728307776,7.48607928271261,7.256038602221,8.11909214561478,0.0100904037122479,0.0100482470709401,0.0102187644480724,0.00308166770259147,0.00299903552858557,0.00330305903720252
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1883","BNL1883","1883","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.55649039359307,1.55338967436071,1.56518050353133,23.1088078939044,22.9666873625197,23.4854478492991,6.07166310052408,5.93544194183944,6.47668737250926,0.0102767833930564,0.0102356438241603,0.0103942603635323,0.00430405515806238,0.00421289626560626,0.00455209790476642
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1884","BNL1884","1884","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.26129543556689,1.25939196275901,1.26686931387395,30.6528434858397,30.4689147878989,31.2405896699367,11.0999065258631,10.8429936982798,11.8546327632956,0.00980169014631171,0.00976606466049351,0.0099007961055481,0.00397404746984751,0.00390093210583881,0.00418590007174238
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1893","BNL1893","1893","SAPU15","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.29602019293919,1.29273068066207,1.30570432686977,31.6600573232847,31.4649990219588,32.2485465652553,11.2352517672174,10.938197843774,12.0802774970797,0.0159363857379758,0.0158810159167228,0.0161119862493592,0.00630573645589542,0.00616608232490156,0.00671088747612688
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1894","BNL1894","1894","SAPU15","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.30711197262399,1.30336676581008,1.31816082183614,40.8499810237831,40.5027459697366,41.8020130736297,14.3237828722255,13.7637231629616,16.0073734837961,0.0159964685530426,0.015925459949206,0.0161937265792553,0.00653957049540632,0.00636953512104876,0.00701377379560589
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1895","BNL1895","1895","SAPU15","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.41948793765799,1.41478777799622,1.4329218034588,42.3453800242945,42.0407563216486,43.224134180299,14.3670848693172,13.885782038148,15.8488148929955,0.0186557587668646,0.0185843872279381,0.0188649650972512,0.00779147875151531,0.00758732075429748,0.00835735145783753
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1896","BNL1896","1896","SAPU15","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.40988016017498,1.4052395009201,1.42367620635249,51.7757668796694,51.3382042285375,53.0101364788743,20.0393302221557,19.1309547862254,22.8692311405358,0.0192402367915661,0.0191721580643972,0.019455595299418,0.00760996005975936,0.0074205896110178,0.00816040620751098
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1897","BNL1897","1897","SAPU15","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.34347117104432,1.33921617864757,1.35542163508487,35.2434312729776,34.9967652060045,35.9617954649865,14.1987345411603,13.759402632734,15.4879164442158,0.0176177199290162,0.0175463395921069,0.0178356188454536,0.00778932136487365,0.00760343873277072,0.00834612701519542
"Barrow (Utqia_vik) Environmental Observatory","20160712","BNL1876","BNL1876","1876","SAPU15","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.45569122945513,1.45098761959906,1.46861861405708,56.2403075156495,55.7591087645864,57.6430153873914,23.5054789647584,22.3409755931785,26.8841987036998,0.0181819837784942,0.0181130222791677,0.0183771161030344,0.00863524112326502,0.0084488066889581,0.00915939058495458
"Barrow (Utqia_vik) Environmental Observatory","20160712","BNL1908","BNL1908","1908","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.16024319305612,1.15884408796901,1.16470452937314,28.0185996703053,27.8811367128896,28.3977820543361,6.30899261155673,6.17587263642503,6.68455579189449,0.0111644610408482,0.0111343823973264,0.0112559019785981,0.00331492672659769,0.00324987942514352,0.00349860583920483
"Barrow (Utqia_vik) Environmental Observatory","20160712","BNL1909","BNL1909","1909","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.26418251208801,1.26170652440159,1.27112362239843,35.8757654204281,35.5754619070714,36.7043025185392,7.89927287220194,7.60964999501287,8.78497600352539,0.00997334610010799,0.00993505405652853,0.010084939421302,0.00438214141835217,0.00428568139543415,0.0046385524789548
